fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia
20210924 183041	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	145	TRUE	0.0292605981162237	0.913804089322872	1596	40	0.0448834207555592	8476250
20210924 183419	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	243	TRUE	0.042216900387588	0.229406816441938	2429	370	0.0448310819991422	8485000
20210924 183554	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	159	TRUE	0.0755403665171587	0.624480588261783	5198	392	0.0440612843765419	8068750
20210924 183747	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	119	TRUE	0.0461920608668216	0.670081947319582	4571	243	0.0441241719951684	8493750
20210924 183959	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	191	TRUE	0.0496609519263799	0.691748303059861	5188	935	0.0439574530122635	8378750
20210924 184147	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	110	TRUE	0.092780780314384	0.612523766106926	7999	928	0.0478967782892861	8178750
20210924 184338	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	87	TRUE	0.0406325238986197	0.907387551618181	7607	46	0.0454898029639832	8132500
20210924 184843	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	217	TRUE	0.0189476023314567	0.986794138070755	1730	660	0.0420105172544447	8575000
20210924 185217	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	62	TRUE	0.0436431910272059	0.465807682571188	861	852	0.0409443440890718	8212500
20210924 185348	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	145	TRUE	0.0845327042314713	0.881154567086697	6136	746	0.0454062617724406	8205000
20210924 185750	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	88	TRUE	0.035436819551033	0.789823429841362	732	142	0.0367501517584401	8028750
20210924 185911	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	85	TRUE	0.0432119693756546	0.683866954205558	7959	703	0.0460887505074223	8197500
20210924 190309	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	335	TRUE	0.0369760894688801	0.332566134241782	7945	484	0.0484078118989278	8337500
20210924 190629	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	43	TRUE	0.0556188166783541	0.418237848983146	700	553	0.0416366365242527	7942500
20210924 190855	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	55	TRUE	0.0438270288337255	0.377407544161193	1254	320	0.0437827385464752	8576250
20210924 191100	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	81	TRUE	0.0935717988502095	0.816898142657615	1986	861	0.0456640170752475	8130000
20210924 191400	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	183	TRUE	0.0717160900065373	0.467858126663417	5094	620	0.0430504622828572	8390000
20210924 191845	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	285	TRUE	0.0238281648941222	0.250973972894438	2034	718	0.0460968311943775	8715000
20210924 192145	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	167	TRUE	0.0679308047031122	0.464541318505257	1618	814	0.04153388193805	8396250
20210924 192613	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	542	TRUE	0.0250870034760563	0.265456774013862	5572	730	0.0477953834000794	8310000
20210924 192752	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	21	TRUE	0.0965325054137269	0.821864115447178	893	1021	0.0425590261085308	7736250
20210924 192936	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	159	TRUE	0.0668975986160082	0.330064113509841	4027	55	0.0445446163926571	8740000
20210924 193047	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	75	TRUE	0.0529681510949927	0.39040426199194	7180	105	0.0476790038947387	7973750
20210924 193438	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	113	TRUE	0.0265765070573543	0.602020457519777	1147	385	0.0402976504095026	8641250
